iter	RMSE
0	0.7363878003
1	0.7235560522
2	0.7112929846
3	0.6995639848
4	0.6881873117
5	0.6773440382
6	0.666906274
7	0.6568886645
8	0.6472593241
9	0.6380461004
10	0.629158484
11	0.6206804545
12	0.6123690225
13	0.6046246968
14	0.5970826362
15	0.5897311399
16	0.5827647369
17	0.5759372473
18	0.5696241148
19	0.5635142384
20	0.5576598649
21	0.5520837961
22	0.5468001454
23	0.541587271
24	0.5364958142
25	0.5315929408
26	0.5270575635
27	0.5227599531
28	0.5184423685
29	0.5143427928
30	0.5104324617
31	0.5066989099
32	0.503128394
33	0.4997811874
34	0.4966068346
35	0.4933380664
36	0.4903720005
37	0.4874057148
38	0.4846223968
39	0.4820450494
40	0.479454072
41	0.4770904785
42	0.4747903956
43	0.472700279
44	0.4705700973
45	0.468428885
46	0.4664383793
47	0.4645806815
48	0.4627335498
49	0.4611254061
50	0.4593629968
51	0.4578391314
52	0.4562046126
53	0.4546855614
54	0.4533607528
55	0.4520643029
56	0.4507323878
57	0.4493578757
58	0.4481987694
59	0.4470951408
60	0.4459175968
61	0.4447764032
62	0.4436260936
63	0.4425024208
64	0.4414825769
65	0.4405778152
66	0.4396575527
67	0.4387767406
68	0.4379217729
69	0.4371133233
70	0.4361906689
71	0.435426289
72	0.4346778102
73	0.4338727204
74	0.4331430665
75	0.4324685447
76	0.4318399607
77	0.4311060019
78	0.430524635
79	0.4298396808
80	0.4292347199
81	0.4286460676
82	0.4280779023
83	0.4275562429
84	0.4270646647
85	0.4264969856
86	0.4259776189
87	0.425442739
88	0.4249106196
89	0.4244051803
90	0.4239725781
91	0.4234850933
92	0.4229628743
93	0.4224404814
94	0.422010758
95	0.4216098022
96	0.4211381603
97	0.4207569431
98	0.420367365
99	0.4199646284
100	0.4195829107
101	0.4191767541
102	0.4187946148
103	0.4183913205
104	0.418048377
105	0.4176823513
106	0.417275659
107	0.4168864785
108	0.4165053581
109	0.41618666
110	0.4158748679
111	0.415551381
112	0.4153017541
113	0.4149704724
114	0.4146921899
115	0.4144265261
116	0.4141010524
117	0.4138396103
118	0.4135189071
119	0.4132634281
120	0.4129733603
121	0.4126813408
122	0.4123621323
123	0.4120905495
124	0.4118007183
125	0.41160369
126	0.4112773736
127	0.4110342779
128	0.4108042273
129	0.4105450834
130	0.4102675276
131	0.410049404
132	0.4098784707
133	0.4096059205
134	0.4094267662
135	0.4091931371
136	0.4089850173
137	0.4086965475
138	0.408516349
139	0.4083450279
140	0.4081077575
141	0.4079247592
142	0.4077066685
143	0.4075176935
144	0.4073560611
145	0.4071051506
146	0.4068463398
147	0.406662882
148	0.4064377447
149	0.4062570163
150	0.4060223252
151	0.4058185428
152	0.405634536
153	0.4054429818
154	0.4052294404
155	0.405104462
156	0.4049326894
157	0.4046867101
158	0.4045044843
159	0.404298677
160	0.404189491
161	0.4039884538
162	0.4037828038
163	0.4035917078
164	0.4033981509
165	0.4032498342
166	0.4030870171
167	0.4029175824
168	0.4027669092
169	0.4026418014
170	0.402518331
171	0.4023193175
172	0.4021939717
173	0.4020502496
174	0.4018931746
175	0.4016608642
176	0.401498898
177	0.4013271322
178	0.4012156599
179	0.4010398445
180	0.4008841023
181	0.4007257708
182	0.400555059
183	0.400454024
184	0.4002553168
185	0.4001049172
186	0.3999352619
187	0.3997823821
188	0.3996816331
189	0.3995524047
190	0.3994034753
191	0.3992378353
192	0.3990679671
193	0.3988992653
194	0.3987608667
195	0.3985806201
196	0.3984595735
197	0.3983299841
198	0.3981877695
199	0.3980321817
200	0.3979250284
201	0.3977698871
202	0.3976185369
203	0.3975028228
204	0.3973970089
205	0.3972469417
206	0.3971271025
207	0.3970217914
208	0.396883612
209	0.3967912748
210	0.3966370163
211	0.3965045055
212	0.3963857766
213	0.3962070087
214	0.3961013904
215	0.3959402015
216	0.3958119187
217	0.3956993219
218	0.3955528862
219	0.3954439974
220	0.3953038407
221	0.3952183533
222	0.3950816227
223	0.3949903852
224	0.3948636175
225	0.3947917962
226	0.3946869287
227	0.3946154695
228	0.3945023665
229	0.3943832817
230	0.3942766094
231	0.3941923062
232	0.3940622983
233	0.3939513578
234	0.3938214892
235	0.393714015
236	0.3935889314
237	0.3934751804
238	0.3933622799
239	0.3932433852
240	0.393140681
