iter	Passed	Remaining
0	286	142738
1	418	104282
2	549	91105
3	681	84535
4	808	80059
5	944	77765
6	1119	78818
7	1256	77261
8	1385	75598
9	1513	74158
10	1640	72945
11	1772	72079
12	1903	71300
13	2033	70603
14	2158	69790
15	2284	69112
16	2410	68485
17	2537	67945
18	2692	68153
19	2833	68004
20	2978	67933
21	3106	67491
22	3232	67036
23	3357	66587
24	3482	66172
25	3604	65720
26	3732	65388
27	3862	65107
28	3992	64846
29	4137	64828
30	4279	64737
31	4411	64514
32	4537	64215
33	4660	63874
34	4786	63589
35	4909	63283
36	5039	63064
37	5174	62906
38	5305	62716
39	5437	62536
40	5564	62295
41	5694	62094
42	5821	61872
43	5948	61651
44	6079	61465
45	6215	61346
46	6340	61114
47	6463	60864
48	6586	60626
49	6718	60468
50	6849	60304
51	6974	60086
52	7109	59961
53	7236	59770
54	7363	59577
55	7486	59360
56	7614	59177
57	7745	59027
58	7872	58845
59	8001	58678
60	8148	58645
61	8294	58597
62	8480	58826
63	8623	58748
64	8767	58677
65	8912	58606
66	9047	58474
67	9171	58265
68	9301	58101
69	9455	58086
70	9582	57898
71	9707	57707
72	9834	57523
73	9958	57330
74	10090	57180
75	10218	57006
76	10340	56802
77	10463	56608
78	10578	56374
79	10706	56208
80	10828	56015
81	10952	55828
82	11075	55646
83	11197	55452
84	11327	55303
85	11451	55127
86	11578	54964
87	11709	54821
88	11826	54613
89	11951	54444
90	12076	54278
91	12195	54083
92	12320	53918
93	12444	53750
94	12570	53589
95	12690	53403
96	12810	53223
97	12945	53101
98	13072	52950
99	13198	52795
100	13320	52623
101	13458	52516
102	13598	52415
103	13725	52260
104	13845	52086
105	13972	51934
106	14097	51777
107	14224	51629
108	14349	51474
109	14472	51312
110	14593	51143
111	14715	50978
112	14841	50829
113	14968	50682
114	15102	50561
115	15239	50446
116	15399	50411
117	15517	50234
118	15637	50066
119	15759	49905
120	15881	49743
121	16007	49595
122	16132	49446
123	16262	49312
124	16389	49169
125	16517	49029
126	16635	48859
127	16760	48709
128	16881	48550
129	17005	48400
130	17131	48254
131	17260	48120
132	17416	48060
133	17557	47955
134	17682	47808
135	17806	47657
136	17926	47498
137	18050	47348
138	18171	47194
139	18294	47041
140	18419	46897
141	18543	46749
142	18657	46578
143	18781	46433
144	18899	46271
145	19016	46107
146	19135	45950
147	19258	45805
148	19387	45671
149	19507	45518
150	19633	45379
151	19757	45234
152	19875	45075
153	19997	44929
154	20125	44794
155	20243	44640
156	20373	44509
157	20502	44378
158	20634	44253
159	20763	44123
160	20902	44012
161	21024	43865
162	21142	43711
163	21264	43566
164	21393	43434
165	21517	43294
166	21643	43157
167	21773	43028
168	21901	42895
169	22031	42767
170	22177	42668
171	22322	42568
172	22447	42430
173	22577	42300
174	22697	42152
175	22819	42009
176	22945	41871
177	23072	41738
178	23197	41600
179	23319	41456
180	23445	41320
181	23576	41194
182	23706	41064
183	23829	40924
184	23949	40779
185	24073	40639
186	24193	40494
187	24312	40349
188	24438	40213
189	24564	40079
190	24684	39935
191	24809	39798
192	24932	39660
193	25053	39516
194	25171	39371
195	25302	39245
196	25443	39133
197	25571	39003
198	25700	38873
199	25818	38727
200	25937	38583
201	26061	38447
202	26180	38303
203	26301	38162
204	26432	38037
205	26553	37896
206	26674	37756
207	26799	37622
208	26921	37484
209	27042	37344
210	27165	37207
211	27287	37070
212	27411	36934
213	27534	36798
214	27663	36670
215	27787	36535
216	27914	36404
217	28034	36264
218	28152	36122
219	28278	35990
220	28404	35859
221	28527	35723
222	28653	35591
223	28774	35454
224	28901	35324
225	29029	35195
226	29165	35075
227	29322	34981
228	29446	34846
229	29566	34708
230	29694	34579
231	29830	34458
232	29959	34331
233	30083	34197
234	30202	34058
235	30323	33921
236	30449	33789
237	30570	33652
238	30690	33515
239	30810	33377
240	30932	33242
241	31053	33106
242	31177	32974
243	31300	32839
244	31425	32707
245	31546	32572
246	31665	32434
247	31794	32307
248	31914	32171
249	32041	32041
250	32166	31909
251	32286	31774
252	32413	31645
253	32531	31506
254	32652	31371
255	32773	31237
256	32899	31107
257	33022	30974
258	33145	30842
259	33265	30706
260	33386	30572
261	33505	30436
262	33631	30306
263	33753	30173
264	33875	30040
265	34003	29912
266	34136	29789
267	34269	29665
268	34389	29531
269	34512	29399
270	34628	29261
271	34753	29131
272	34879	29002
273	34999	28867
274	35118	28733
275	35234	28596
276	35357	28464
277	35480	28333
278	35605	28203
279	35726	28070
280	35846	27937
281	35964	27802
282	36131	27705
283	36260	27578
284	36383	27447
285	36501	27312
286	36626	27182
287	36747	27050
288	36867	26917
289	36990	26786
290	37116	26657
291	37238	26525
292	37363	26396
293	37480	26262
294	37618	26141
295	37748	26015
296	37875	25887
297	38003	25760
298	38126	25630
299	38250	25500
300	38373	25370
301	38508	25247
302	38634	25119
303	38755	24986
304	38871	24852
305	38996	24723
306	39119	24593
307	39243	24463
308	39363	24331
309	39485	24200
310	39604	24068
311	39726	23938
312	39855	23811
313	39979	23681
314	40117	23560
315	40258	23441
316	40385	23314
317	40502	23180
318	40629	23052
319	40753	22923
320	40870	22790
321	40989	22658
322	41107	22526
323	41237	22400
324	41360	22271
325	41484	22141
326	41611	22014
327	41735	21885
328	41858	21756
329	41975	21623
